"date","precipitation_sum","rain_sum","showers_sum"
"2025-03-25 08:15:03.281254+01","10.3","7.5","2.5"
"2025-03-25 08:15:02.491338+01","10.3","7.5","2.5"
"2025-03-26 08:15:02.491338+01","9.2","4.4","4.9"
"2025-03-26 08:15:03.050645+01","9.2","4.4","4.9"
"2025-03-27 08:15:03.050645+01","0.8","0","0.8"
"2025-03-27 08:15:02.864369+01","0.8","0","0.8"
"2025-03-28 08:15:02.864369+01","5.1","0","5.1"
"2025-03-28 07:15:07.656519+01","5.2","0","5.2"
"2025-03-29 07:15:07.656519+01","2","0","2"
"2025-03-29 07:15:02.608697+01","2","0","2"
"2025-03-30 08:15:02.608697+02","6.6","2.5","4"
"2025-03-30 08:15:02.519723+02","6.6","2.5","4"
"2025-03-31 08:15:02.519723+02","2.8","0","2.8"
"2025-03-31 08:15:03.27354+02","2.8","0","2.8"
"2025-04-01 08:15:03.27354+02","3.9","0","3.9"
"2025-04-01 08:15:02.484032+02","3.9","0","3.9"
"2025-04-02 08:15:02.484032+02","0","0","0"
"2025-04-02 08:15:02.599973+02","0","0","0"
"2025-04-03 08:15:02.599973+02","0","0","0"
"2025-04-03 08:15:07.478321+02","0","0","0"
"2025-04-04 08:15:07.478321+02","0","0","0"
"2025-04-04 08:15:02.466357+02","0","0","0"
"2025-04-05 08:15:02.466357+02","0","0","0"
"2025-04-05 08:15:02.458667+02","0","0","0"
"2025-04-06 08:15:02.458667+02","0.1","0","0.1"
"2025-04-06 08:15:03.481322+02","0.1","0","0.1"
"2025-04-07 08:15:03.481322+02","0.5","0","0.5"
"2025-04-07 08:15:02.988672+02","0.5","0","0.5"
"2025-04-08 08:15:02.988672+02","0","0","0"
"2025-04-08 08:15:03.066937+02","0","0","0"
"2025-04-09 08:15:03.066937+02","0","0","0"
"2025-04-09 08:15:02.900459+02","0","0","0"
"2025-04-10 08:15:02.900459+02","0","0","0"
"2025-04-10 08:15:02.47993+02","0","0","0"
"2025-04-11 08:15:02.47993+02","0","0","0"
"2025-04-11 08:15:02.630988+02","0","0","0"
"2025-04-12 08:15:02.630988+02","0","0","0"
"2025-04-12 08:15:02.609016+02","0","0","0"
"2025-04-13 08:15:02.609016+02","0","0","0"
"2025-04-13 08:15:02.666146+02","0","0","0"
"2025-04-14 08:15:02.666146+02","0","0","0"
"2025-04-14 08:15:02.545968+02","0","0","0"
"2025-04-15 08:15:02.545968+02","0","0","0"
"2025-04-15 08:15:03.125219+02","0","0","0"
"2025-04-16 08:15:03.125219+02","0.3","0","0.3"
"2025-04-16 08:15:03.046211+02","0.3","0","0.3"
"2025-04-17 08:15:03.046211+02","0","0","0"
"2025-04-17 08:15:03.290201+02","0","0","0"
"2025-04-18 08:15:03.290201+02","0","0","0"
"2025-04-18 08:15:03.297732+02","0","0","0"
"2025-04-19 08:15:03.297732+02","0","0","0"
"2025-04-19 08:15:03.273432+02","0","0","0"
"2025-04-20 08:15:03.273432+02","0","0","0"
"2025-04-20 08:15:03.060633+02","0","0","0"
"2025-04-21 08:15:03.060633+02","0.7","0.1","0.6"
"2025-04-21 08:15:03.061736+02","0.7","0.1","0.6"
"2025-04-22 08:15:03.061736+02","0.2","0","0.2"
"2025-04-22 08:15:02.917798+02","0.2","0","0.2"
"2025-04-23 08:15:02.917798+02","0","0","0"
"2025-04-23 08:15:02.825751+02","0","0","0"
"2025-04-24 08:15:02.825751+02","0","0","0"
"2025-04-24 08:15:02.822765+02","0","0","0"
"2025-04-25 08:15:02.822765+02","0","0","0"
"2025-04-25 08:15:02.737379+02","0","0","0"
"2025-04-26 08:15:02.737379+02","0","0","0"
"2025-04-26 08:15:03.165379+02","0","0","0"
"2025-04-27 08:15:03.165379+02","0","0","0"
"2025-04-27 08:15:03.028314+02","0","0","0"
"2025-04-28 08:15:03.028314+02","1.8","0","1.8"
"2025-04-28 08:15:02.998017+02","1.8","0","1.8"
"2025-04-29 08:15:02.998017+02","0.4","0","0.4"
"2025-04-29 08:15:03.23579+02","0.4","0","0.4"
"2025-04-30 08:15:03.23579+02","0","0","0"
"2025-04-30 08:15:03.344045+02","0","0","0"
"2025-05-01 08:15:03.344045+02","0","0","0"
"2025-05-01 08:15:03.123196+02","0","0","0"
"2025-05-02 08:15:03.123196+02","0","0","0"
"2025-05-02 08:31:34.57736+02","0","0","0"
"2025-05-03 08:31:34.57736+02","0","0","0"
"2025-05-03 08:15:03.355195+02","0","0","0"
"2025-05-04 08:15:03.355195+02","0.1","0.1","0"
"2025-05-04 08:15:03.182554+02","0.1","0.1","0"
"2025-05-05 08:15:03.182554+02","0","0","0"
"2025-05-05 08:15:03.050856+02","0","0","0"
"2025-05-06 08:15:03.050856+02","0","0","0"
"2025-05-06 08:15:02.96826+02","0","0","0"
"2025-05-07 08:15:02.96826+02","0","0","0"
"2025-05-07 08:15:03.753442+02","0","0","0"
"2025-05-08 08:15:03.753442+02","0","0","0"
"2025-05-08 08:15:02.652195+02","0","0","0"
"2025-05-09 08:15:02.652195+02","0","0","0"
"2025-05-09 08:15:03.558971+02","0","0","0"
"2025-05-10 08:15:03.558971+02","0","0","0"
"2025-05-10 08:15:03.262475+02","0","0","0"
"2025-05-11 08:15:03.262475+02","0.2","0","0.2"
"2025-05-11 08:15:03.190624+02","0.2","0","0.2"
"2025-05-12 08:15:03.190624+02","0.1","0","0.1"
"2025-05-12 08:15:02.559394+02","0.1","0","0.1"
"2025-05-13 08:15:02.559394+02","0","0","0"
"2025-05-13 08:15:02.619782+02","0","0","0"
"2025-05-14 08:15:02.619782+02","0","0","0"
"2025-05-14 08:15:02.909421+02","0","0","0"
"2025-05-15 08:15:02.909421+02","28.2","3.8","24.3"
"2025-05-15 08:15:02.767782+02","28.2","3.8","24.3"
"2025-05-16 08:15:02.767782+02","5.4","2.4","3"
"2025-05-16 08:15:03.346578+02","5.4","2.4","3"
"2025-05-17 08:15:03.346578+02","0.2","0","0.2"
"2025-05-17 08:15:02.579815+02","0.2","0","0.2"
"2025-05-18 08:15:02.579815+02","0","0","0"
"2025-05-18 08:15:02.679796+02","0","0","0"
"2025-05-19 08:15:02.679796+02","0","0","0"
"2025-05-19 08:15:02.889574+02","0","0","0"
"2025-05-20 08:15:02.889574+02","0","0","0"
"2025-05-20 08:15:03.131108+02","0","0","0"
"2025-05-21 08:15:03.131108+02","0","0","0"
